"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades"
"ITC","EQ","22-Jul-2019","        268.30","        268.00","        268.20","        264.00","        264.30","        264.40","        265.53","   13516960","          3589097832.80","     168909"
"ITC","EQ","23-Jul-2019","        264.40","        265.50","        271.70","        265.00","        270.95","        270.65","        268.88","   14396986","          3871019232.60","     125113"
"ITC","EQ","24-Jul-2019","        270.65","        270.30","        273.35","        267.90","        271.25","        270.85","        270.08","   12072603","          3260568843.65","     147314"
"ITC","EQ","25-Jul-2019","        270.85","        271.00","        272.50","        266.90","        268.50","        267.85","        269.13","   17669912","          4755565428.35","     149734"
"ITC","EQ","26-Jul-2019","        267.85","        268.75","        271.00","        266.90","        270.60","        270.40","        269.59","    4788040","          1290822169.50","      59496"
"ITC","EQ","29-Jul-2019","        270.40","        270.00","        271.15","        266.50","        267.25","        267.75","        268.53","    5525308","          1483723817.25","      41053"
"ITC","EQ","30-Jul-2019","        267.75","        268.00","        270.10","        266.55","        268.20","        268.90","        268.33","   13233351","          3550864742.75","     120106"
"ITC","EQ","31-Jul-2019","        268.90","        268.60","        271.10","        266.00","        270.80","        270.20","        268.62","   13649764","          3666551243.80","      98085"
"ITC","EQ","01-Aug-2019","        270.20","        270.45","        270.70","        266.50","        267.40","        267.55","        268.26","    5925611","          1589579278.25","     106877"
"ITC","EQ","02-Aug-2019","        267.55","        267.20","        267.20","        263.10","        263.90","        264.50","        264.78","    8890911","          2354154091.05","     100334"
"ITC","EQ","05-Aug-2019","        264.50","        264.40","        264.50","        257.65","        259.90","        259.80","        259.65","   11556743","          3000663051.00","     132047"
"ITC","EQ","06-Aug-2019","        259.80","        258.75","        261.50","        258.15","        258.20","        258.90","        259.80","    9408544","          2444295956.10","     157322"
"ITC","EQ","07-Aug-2019","        258.90","        259.05","        259.35","        253.10","        253.40","        253.65","        255.88","    8489812","          2172395935.00","     132222"
"ITC","EQ","08-Aug-2019","        253.65","        255.00","        258.70","        253.00","        257.80","        257.75","        255.73","    6370866","          1629216822.80","      80996"
"ITC","EQ","09-Aug-2019","        257.75","        258.85","        258.85","        253.50","        254.30","        254.20","        254.99","    9927337","          2531375699.10","     125800"
"ITC","EQ","13-Aug-2019","        254.20","        253.80","        254.00","        244.00","        244.65","        246.30","        247.57","   20992894","          5197126507.90","     159332"
"ITC","EQ","14-Aug-2019","        246.30","        246.30","        253.60","        244.05","        248.60","        248.75","        249.79","   13809031","          3449376051.10","     111724"
"ITC","EQ","16-Aug-2019","        248.75","        248.75","        253.40","        247.40","        252.65","        253.00","        251.44","   10337358","          2599188988.70","     102350"
"ITC","EQ","19-Aug-2019","        253.00","        253.50","        257.30","        250.95","        251.60","        251.55","        254.36","   12524627","          3185723605.90","     137418"
"ITC","EQ","20-Aug-2019","        251.55","        251.60","        251.95","        245.45","        246.85","        246.50","        247.35","   15000271","          3710338930.80","     184129"
"ITC","EQ","21-Aug-2019","        246.50","        246.70","        246.90","        240.85","        242.30","        241.45","        242.98","   14736226","          3580673511.10","     158073"
"ITC","EQ","22-Aug-2019","        241.45","        242.20","        246.00","        239.00","        240.00","        240.05","        242.66","   10513066","          2551108535.80","     176021"
"ITC","EQ","23-Aug-2019","        240.05","        239.00","        239.45","        234.65","        236.45","        236.10","        236.55","   16440329","          3888935330.75","     166327"
"ITC","EQ","26-Aug-2019","        236.10","        240.70","        243.45","        234.95","        242.00","        242.50","        240.73","   12857092","          3095031740.25","     125210"
"ITC","EQ","27-Aug-2019","        242.50","        243.95","        246.30","        242.70","        246.00","        245.50","        245.22","   14529777","          3562960814.55","     186669"
"ITC","EQ","28-Aug-2019","        245.50","        246.15","        247.65","        243.10","        245.60","        245.95","        245.55","    8894489","          2184017013.00","     113351"
"ITC","EQ","29-Aug-2019","        245.95","        243.95","        245.45","        240.15","        241.65","        241.20","        242.37","   11105245","          2691537752.30","      90760"
"ITC","EQ","30-Aug-2019","        241.20","        242.75","        247.20","        239.05","        245.50","        245.65","        244.01","   11772247","          2872586766.60","     115940"
"ITC","EQ","03-Sep-2019","        245.65","        244.45","        244.45","        240.65","        241.20","        241.55","        242.18","    9546229","          2311866646.95","      85296"
"ITC","EQ","04-Sep-2019","        241.55","        241.60","        244.55","        241.30","        241.85","        243.25","        243.17","    7032392","          1710038856.25","     118139"
"ITC","EQ","05-Sep-2019","        243.25","        242.00","        246.90","        242.00","        244.30","        244.25","        244.46","    8451611","          2066110939.80","      79361"
"ITC","EQ","06-Sep-2019","        244.25","        244.30","        245.85","        243.25","        244.00","        243.90","        244.19","    8704669","          2125634185.35","      75591"
"ITC","EQ","09-Sep-2019","        243.90","        244.65","        246.50","        243.20","        245.70","        245.50","        245.47","    9085228","          2230173096.80","      65072"
"ITC","EQ","11-Sep-2019","        245.50","        244.60","        245.45","        243.00","        243.30","        243.75","        243.89","    8968683","          2187402276.20","     113631"
"ITC","EQ","12-Sep-2019","        243.75","        244.30","        245.00","        240.00","        240.80","        240.75","        242.19","    8083759","          1957830549.35","     134914"
"ITC","EQ","13-Sep-2019","        240.75","        241.00","        242.45","        238.60","        240.10","        239.90","        240.31","   14031943","          3372033292.00","     105649"
"ITC","EQ","16-Sep-2019","        239.90","        239.50","        240.85","        238.30","        239.20","        239.40","        239.29","    7084644","          1695314638.80","     111124"
"ITC","EQ","17-Sep-2019","        239.40","        239.80","        240.10","        236.80","        237.05","        237.20","        238.09","   10672279","          2540966838.50","     157813"
"ITC","EQ","18-Sep-2019","        237.20","        237.70","        242.30","        234.05","        238.90","        239.25","        237.53","   19956339","          4740300872.75","     175188"
"ITC","EQ","19-Sep-2019","        239.25","        239.95","        239.95","        236.10","        236.40","        236.70","        237.42","    8483309","          2014100136.10","      92944"
"ITC","EQ","20-Sep-2019","        236.70","        237.00","        248.50","        234.30","        237.30","        238.05","        240.62","   63568127","         15295471893.20","     323826"
"ITC","EQ","23-Sep-2019","        238.05","        250.00","        260.50","        249.90","        255.00","        254.85","        255.71","   52040316","         13307304241.55","     375452"
"ITC","EQ","24-Sep-2019","        254.85","        255.00","        258.00","        253.80","        256.20","        256.00","        255.96","   17167257","          4394088603.45","     195587"
"ITC","BL","25-Sep-2019","        298.90","        256.00","        256.00","        256.00","        256.00","        256.00","        256.00","    1138578","           291475968.00","          1"
"ITC","EQ","25-Sep-2019","        256.00","        255.10","        256.25","        242.70","        245.00","        247.55","        251.89","   20597095","          5188141843.00","     200544"
"ITC","EQ","26-Sep-2019","        247.55","        247.30","        251.40","        246.25","        250.35","        250.40","        249.43","   17847616","          4451751495.65","     143966"
"ITC","EQ","27-Sep-2019","        250.40","        250.00","        258.00","        250.00","        253.80","        252.95","        254.55","   17535666","          4463779737.30","     150087"
"ITC","EQ","30-Sep-2019","        252.95","        254.75","        260.80","        249.40","        259.15","        259.85","        256.60","   20588289","          5282974860.25","     146670"
"ITC","EQ","01-Oct-2019","        259.85","        259.10","        262.45","        255.00","        256.15","        255.90","        258.41","   15440899","          3990005629.40","     151731"
"ITC","EQ","03-Oct-2019","        255.90","        257.70","        262.15","        256.05","        261.25","        261.65","        259.37","   12356337","          3204832442.45","     161071"
"ITC","EQ","04-Oct-2019","        261.65","        263.00","        263.90","        255.20","        257.50","        257.25","        258.07","   18085064","          4667198739.55","     196876"
"ITC","EQ","07-Oct-2019","        257.25","        257.50","        258.00","        250.70","        251.20","        251.90","        254.82","   21263568","          5418428616.15","     107061"
"ITC","EQ","09-Oct-2019","        251.90","        251.30","        252.20","        246.30","        247.00","        247.10","        248.56","   21503869","          5344913332.75","     118978"
"ITC","EQ","10-Oct-2019","        247.10","        247.00","        247.65","        242.65","        243.10","        243.20","        244.36","   24294966","          5936666498.25","     137402"
"ITC","EQ","11-Oct-2019","        243.20","        243.20","        246.20","        241.10","        244.15","        243.95","        244.16","   25072193","          6121668392.30","     132632"
"ITC","EQ","14-Oct-2019","        243.95","        245.45","        246.40","        243.00","        244.15","        244.10","        244.60","   14713799","          3598983399.35","     105998"
"ITC","EQ","15-Oct-2019","        244.10","        245.05","        249.20","        245.05","        247.80","        247.60","        247.71","    9989191","          2474374750.05","     184999"
"ITC","EQ","16-Oct-2019","        247.60","        247.40","        247.60","        242.15","        244.00","        243.65","        244.04","   16063295","          3920144136.30","     152479"
"ITC","EQ","17-Oct-2019","        243.65","        244.00","        246.70","        243.85","        245.95","        245.85","        245.51","   13649598","          3351084507.50","     158356"
"ITC","EQ","18-Oct-2019","        245.85","        246.00","        247.80","        245.10","        246.35","        246.50","        246.55","   12833554","          3164147314.65","     103099"
"ITC","EQ","22-Oct-2019","        246.50","        245.00","        251.10","        244.95","        248.50","        248.90","        249.13","   18275636","          4552988880.75","     135996"
